expense_id,team_id,expense_created_at,review_status,purchase_type,amount_value,amount_currency,merchant_country,has_note,category
58062,34523,2023-10-10 10:17:23.300000+00:00,OK,ONLINE,157.88032,GBP,GB,0,Travel
92800,19445,2023-08-01 10:17:50.521000+00:00,OK,ONLINE,302.35884,GBP,GB,0,Travel
83338,5240,2023-08-18 10:17:03.764000+00:00,OK,ONLINE,95.3544,GBP,NO,0,Travel
25976,19445,2023-05-01 21:55:47.810000+00:00,NOT_REQUIRED,ONLINE,143.506,GBP,GB,0,Travel
34666,19445,2023-08-07 08:29:10.667000+00:00,OK,ONLINE,234.23499999999999,GBP,NO,1,Travel
56983,19445,2023-11-27 15:28:55.856000+00:00,OK,ONLINE,256.80458,GBP,GB,1,Travel
23745,19445,2023-08-23 11:19:37.957000+00:00,OK,ONLINE,175.10103999999998,GBP,GB,0,Travel
29647,19445,2023-03-24 14:29:06.045000+00:00,WAITING_FOR_EXPENSE_OWNER,ONLINE,83.3758,GBP,NO,1,Travel
40161,67636,2023-04-28 06:36:09.171000+00:00,OK,ONLINE,331.45142000000004,GBP,GB,0,Travel
68826,56284,2023-12-02 09:09:06.023000+00:00,OK,ONLINE,39.71914,EUR,GB,0,Travel
90313,19445,2023-05-11 10:16:37.990000+00:00,NOT_REQUIRED,ONLINE,355.44419999999997,EUR,ES,0,Travel
94700,19445,2023-07-31 06:22:07.718000+00:00,OK,ONLINE,106.74,GBP,IE,0,Travel
30039,19445,2023-08-20 18:01:23.602000+00:00,OK,ONLINE,256.50808,GBP,GB,1,Travel
42066,19445,2023-09-27 09:26:13.508000+00:00,OK,ONLINE,307.38748,GBP,GB,0,Travel
44078,19445,2023-10-06 13:05:19.452000+00:00,OK,IN_STORE,1114.84,NOK,NO,1,Travel
95385,19445,2023-08-09 16:29:54.611000+00:00,NOT_SET,ONLINE,324.82167999999996,GBP,GB,0,Travel
26887,19445,2023-09-05 14:17:30.510000+00:00,WAITING_FOR_EXPENSE_OWNER,ONLINE,215.05738,GBP,GB,1,Travel
85837,19445,2023-06-27 15:12:36.516000+00:00,NOT_REQUIRED,ONLINE,145.86613999999997,EUR,IE,0,Travel
40193,19445,2023-08-21 14:28:27.348000+00:00,OK,ONLINE,242.06259999999997,GBP,ES,0,Travel
30332,54393,2023-09-27 14:12:57.262000+00:00,OK,ONLINE,173.60667999999998,GBP,PT,0,Travel
19694,19445,2023-03-21 09:17:32.476000+00:00,NOT_REQUIRED,ONLINE,24.56206,GBP,IS,0,Travel
41525,19445,2023-06-04 19:40:29.361000+00:00,NOT_REQUIRED,ONLINE,58.114,GBP,IE,1,Travel
18804,90684,2023-10-30 08:17:13.725000+00:00,OK,IN_STORE,146.8268,GBP,GB,0,Travel
